feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,feature_128,feature_129,feature_130,feature_131,feature_132,feature_133,feature_134,feature_135,feature_136,feature_137,feature_138,feature_139,feature_140,feature_141,feature_142,feature_143,feature_144,feature_145,feature_146,feature_147,feature_148,feature_149,label
3.0,0.5821022,0.48833504,0.4271814,0.40520993,0.39081952,14.0,67.0,53.0,33.909092,18.049587,14.0,33.0,78.0,45.0,60.636364,15.07438,64.0,28.0855,164.93031,136.84482,78.301544,47.25206,28.0855,1357.77,1747.0,389.23,1583.6437,164.27173,1357.77,3.0,14.0,11.0,9.909091,3.768595,11.0,3.0,6.0,3.0,4.181818,0.9917355,3.0,111.0,192.0,81.0,140.72728,27.966942,111.0,1.23,1.9,0.67,1.7172728,0.26578513,1.9,1.0,2.0,1.0,1.6363636,0.46280992,1.0,0.0,2.0,2.0,0.72727275,0.92561984,0.0,0.0,10.0,10.0,3.6363637,4.628099,0.0,0.0,11.0,11.0,3.0,4.3636365,0.0,4.0,13.0,9.0,9.0,3.6363637,4.0,0.0,1.0,1.0,0.36363637,0.46280992,0.0,0.0,4.0,4.0,1.4545455,1.8512397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.8181818,1.1900827,0.0,1.0,4.0,3.0,2.6363637,1.1900827,1.0,11.07,30.733334,19.663334,19.84,6.378182,11.07,0.0,0.773,0.773,0.28109092,0.35775205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,227.0,33.0,217.27272,12.694215,225.0,1.6363636,0.72727275,3.6363637,3.0,0.0,0.10615688,0.02105591,3.8645456e-05,-5.211956,-0.008857037,0.0,16.5978,-0.63979346
2.0,0.70710677,0.62996054,0.57434916,0.55204475,0.5358867,5.0,23.0,18.0,14.0,9.0,5.0,46.0,72.0,26.0,59.0,13.0,46.0,10.811,50.9415,40.1305,30.87625,20.06525,10.811,2183.0,2348.0,165.0,2265.5,82.5,2183.0,5.0,13.0,8.0,9.0,4.0,5.0,2.0,4.0,2.0,3.0,1.0,2.0,84.0,153.0,69.0,118.5,34.5,84.0,1.63,2.04,0.41,1.835,0.205,1.63,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,3.0,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5,2.5,0.0,0.0,7.0,7.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,6.0,1.0,5.0,7.1725,13.01,5.8375,10.09125,2.91875,7.1725,0.0,1.524,1.524,0.762,0.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,197.5,31.5,166.0,2.0,0.5,1.5,0.0,0.0,0.04115419,0.010288548,-0.000175425,-8.643985,-0.06590529,0.0,9.02418,-0.8345112
2.0,0.7905694,0.7591472,0.75061625,0.750049,0.75000125,78.0,92.0,14.0,81.5,5.25,78.0,20.0,63.0,43.0,52.25,16.125,63.0,195.084,238.02892,42.94491,205.82022,16.104342,195.084,1408.0,2041.4,633.4,1883.05,237.525,2041.4,3.0,10.0,7.0,8.25,2.625,10.0,6.0,7.0,1.0,6.25,0.375,6.0,136.0,196.0,60.0,151.0,22.5,136.0,1.38,2.28,0.9,2.055,0.3375,2.28,1.0,2.0,1.0,1.25,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,7.0,3.0,9.0,3.0,14.0,11.0,11.25,4.125,14.0,6.0,24.0,18.0,19.5,6.75,24.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.0,3.0,1.0,0.0,11.0,11.0,2.75,4.125,0.0,2.0,20.0,18.0,6.5,6.75,2.0,15.02,20.025,5.005,16.27125,1.876875,15.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,225.0,162.0,184.5,60.75,225.0,1.25,0.0,7.0,11.25,0.0,0.18331352,0.034371283,-0.37434316,-8.111574,-0.20752433,0.0,17.9194,-0.7466671
2.0,0.7905694,0.7591472,0.75061625,0.750049,0.75000125,64.0,79.0,15.0,75.25,5.625,79.0,27.0,66.0,39.0,56.25,14.625,66.0,157.25,196.96657,39.716568,187.03743,14.893713,196.96657,1337.33,1586.0,248.67,1399.4976,93.25125,1337.33,3.0,11.0,8.0,9.0,3.0,11.0,6.0,6.0,0.0,6.0,0.0,6.0,136.0,196.0,60.0,151.0,22.5,136.0,1.2,2.54,1.34,2.205,0.5025,2.54,1.0,2.0,1.0,1.25,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,7.75,3.375,10.0,7.0,14.0,7.0,12.25,2.625,14.0,10.0,25.0,15.0,21.25,5.625,25.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2.25,3.375,0.0,0.0,7.0,7.0,1.75,2.625,0.0,1.0,16.0,15.0,4.75,5.625,1.0,16.7,32.05,15.35,20.5375,5.75625,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,217.25,11.625,225.0,1.25,0.0,7.75,12.25,0.0,0.36167008,0.067813136,-7.805e-05,-4.3277564,-0.051761143,0.0,20.0999,-0.71388704
3.0,0.6,0.5142563,0.46090633,0.44188184,0.4287303,14.0,65.0,51.0,36.8,22.56,14.0,29.0,78.0,49.0,53.8,19.84,29.0,28.0855,158.92535,130.83984,85.97334,58.361607,28.0855,1629.0,1811.0,182.0,1688.6,48.96,1629.0,3.0,14.0,11.0,8.4,4.48,3.0,3.0,6.0,3.0,4.4,1.28,3.0,111.0,194.0,83.0,148.4,36.48,111.0,1.21,1.9,0.69,1.61,0.32,1.21,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.8,0.96,0.0,0.0,6.0,6.0,1.2,1.92,0.0,0.0,9.0,9.0,3.6,4.32,0.0,4.0,11.0,7.0,7.6,2.88,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.6,1.92,0.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,5.0,5.0,2.0,2.4,0.0,4.0,5.0,1.0,4.4,0.48,4.0,10.73,31.736666,21.006666,23.016666,6.976,20.44,0.0,0.773,0.773,0.3092,0.37104,0.0,0.0,2.1106627,2.1106627,0.42213255,0.6754121,0.0,194.0,229.0,35.0,214.2,16.16,194.0,2.0,0.8,1.2,3.6,1.0,0.1478562,0.033733483,0.03368569,-6.374773,0.020547725,0.0,19.0678,-0.42813385
3.0,0.6,0.5142563,0.46090633,0.44188184,0.4287303,14.0,90.0,76.0,34.0,22.4,14.0,16.0,78.0,62.0,56.4,17.28,55.0,28.0855,232.03806,203.95256,79.97981,60.8233,28.0855,1687.0,2023.0,336.0,1803.8,93.44,1687.0,3.0,14.0,11.0,9.4,3.68,8.0,3.0,7.0,4.0,4.2,1.12,3.0,111.0,206.0,95.0,138.4,27.04,111.0,1.3,1.9,0.6,1.752,0.1808,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.8,0.96,0.0,0.0,6.0,6.0,2.8,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,5.6,1.92,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.6,1.92,0.0,0.0,8.0,8.0,3.2,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,4.8,1.28,4.0,10.73,32.37,21.64,18.942,6.5696,10.73,0.0,0.773,0.773,0.3092,0.37104,0.0,0.0,2.1106627,2.1106627,0.8442651,1.0131181,0.0,225.0,229.0,4.0,227.4,1.28,227.0,2.0,0.8,2.8,0.0,1.0,0.08606882,0.012506661,0.00192564,-7.68696,-0.19803421,0.0,15.6266,-0.71124053
3.0,0.6,0.5142563,0.46090633,0.44188184,0.4287303,14.0,71.0,57.0,38.2,19.36,14.0,41.0,78.0,37.0,64.2,11.04,62.0,28.0855,174.9668,146.8813,88.79556,48.568047,28.0855,1687.0,1936.0,249.0,1793.22,84.976,1687.0,3.0,14.0,11.0,10.2,3.04,10.0,3.0,6.0,3.0,4.4,1.12,3.0,111.0,187.0,76.0,137.4,21.12,111.0,1.27,2.2,0.93,1.894,0.2496,1.9,0.0,2.0,2.0,1.2,0.96,0.0,0.0,2.0,2.0,0.8,0.96,0.0,0.0,10.0,10.0,4.2,4.64,0.0,0.0,14.0,14.0,2.8,4.48,0.0,4.0,17.0,13.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.6,1.92,0.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,3.4,2.72,0.0,14.41,28.865,14.455,19.713,4.2424,14.41,0.0,0.773,0.773,0.3092,0.37104,0.0,0.0,0.0022471,0.0022471,0.00044942,0.000719072,0.0,194.0,227.0,33.0,219.6,10.24,225.0,1.2,0.8,4.2,2.8,0.0,0.19444597,0.026672365,4.82e-05,-6.0404944,-0.16191533,0.0,16.7055,-0.89501375
3.0,0.57735026,0.48074985,0.41524366,0.38997695,0.37204105,14.0,71.0,57.0,35.666668,23.555555,14.0,41.0,78.0,37.0,54.0,16.0,41.0,28.0855,174.9668,146.8813,83.63976,60.88469,28.0855,1687.0,1941.0,254.0,1854.6666,111.77778,1687.0,3.0,14.0,11.0,7.0,4.6666665,3.0,3.0,6.0,3.0,4.3333335,1.1111112,3.0,111.0,187.0,76.0,152.66667,27.777779,111.0,1.27,1.9,0.63,1.57,0.22,1.27,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.6666667,0.8888889,0.0,0.0,2.0,2.0,1.0,0.6666667,0.0,0.0,14.0,14.0,4.6666665,6.2222223,0.0,4.0,17.0,13.0,8.333333,5.7777777,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.3333334,1.7777778,0.0,0.0,9.0,9.0,5.6666665,3.7777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,5.0,7.0,2.0,4.0,16.69,28.865,12.175,21.998333,4.577778,16.69,0.0,0.773,0.773,0.25766668,0.34355557,0.0,0.0,0.0022471,0.0022471,0.00075654447,0.0009937037,0.0,194.0,227.0,33.0,205.0,14.666667,194.0,2.0,0.6666667,1.0,4.6666665,0.0,0.09446106,0.016044637,0.012122,-6.5725155,-0.014150399,0.0,19.532,-0.6901382
3.0,0.70710677,0.67354,0.66692686,0.6666783,0.6666668,25.0,68.0,43.0,34.166668,11.277778,28.0,35.0,61.0,26.0,55.166668,7.7777777,61.0,54.938046,167.259,112.32095,76.16177,30.365742,58.6934,1519.0,1770.0,251.0,1700.1666,60.38889,1728.0,3.0,10.0,7.0,8.333333,2.2222223,10.0,4.0,6.0,2.0,4.3333335,0.5555556,4.0,124.0,189.0,65.0,137.33333,17.777779,124.0,1.24,1.91,0.67,1.7383333,0.22888888,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.1666665,2.4444444,8.0,0.0,12.0,12.0,2.0,3.3333333,0.0,7.0,14.0,7.0,10.166667,1.2777778,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.1666667,0.9444444,2.0,0.0,2.0,2.0,0.33333334,0.5555556,0.0,2.0,5.0,3.0,2.5,0.8333333,2.0,10.32,30.585,20.265,13.725431,5.6198564,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.39698148,0.26455095,0.5953947,194.0,225.0,31.0,218.5,8.666667,225.0,2.0,0.0,6.1666665,2.0,0.0,0.10615688,0.015996922,0.89641935,-6.2781706,0.02051034,0.0,13.5934,-0.30205026
2.0,0.74535596,0.6933613,0.6707822,0.6674082,0.6667317,22.0,46.0,24.0,30.0,10.666667,22.0,43.0,62.0,19.0,49.333332,8.444445,43.0,47.867,106.42,58.553,67.38467,26.023556,47.867,1828.05,1941.0,112.95,1903.35,50.2,1941.0,4.0,10.0,6.0,6.0,2.6666667,4.0,4.0,5.0,1.0,4.3333335,0.44444445,4.0,139.0,160.0,21.0,153.0,9.333333,160.0,1.54,2.2,0.66,1.76,0.29333332,1.54,0.0,2.0,2.0,1.3333334,0.8888889,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,4.6666665,3.5555556,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,6.0,2.6666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.3333335,3.5555556,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.3333335,3.5555556,8.0,14.41,16.69,2.28,15.93,1.0133333,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2533333e-05,2.2533333e-05,1.5022222e-05,1.00148145e-05,2.2533333e-05,194.0,225.0,31.0,204.33333,13.777778,194.0,1.3333334,0.0,4.6666665,0.0,0.0,0.1031799,0.022928867,0.0050601,-7.347529,-0.033164576,0.0,15.9421,-0.48991743
2.0,0.7905694,0.7591472,0.75061625,0.750049,0.75000125,46.0,64.0,18.0,50.5,6.75,46.0,27.0,62.0,35.0,53.25,13.125,62.0,106.42,157.25,50.83,119.1275,19.06125,106.42,1586.0,1828.05,242.05,1767.5375,90.76875,1828.05,3.0,10.0,7.0,8.25,2.625,10.0,5.0,6.0,1.0,5.25,0.375,5.0,139.0,196.0,57.0,153.25,21.375,139.0,1.2,2.2,1.0,1.95,0.375,2.2,0.0,2.0,2.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,7.75,3.375,10.0,0.0,7.0,7.0,1.75,2.625,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2.25,3.375,0.0,0.0,7.0,7.0,1.75,2.625,0.0,0.0,16.0,16.0,4.0,6.0,0.0,14.41,32.05,17.64,18.82,6.615,14.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,217.25,11.625,225.0,0.5,0.0,7.75,1.75,0.0,0.22119921,0.041474853,-0.000623275,-5.914737,-0.26247904,0.0,17.492,-0.8684307
2.0,0.74535596,0.6933613,0.6707822,0.6674082,0.6667317,21.0,28.0,7.0,25.666666,3.1111112,28.0,11.0,61.0,50.0,44.333332,22.222221,61.0,44.955914,58.6934,13.737488,54.11424,6.1055503,58.6934,1728.0,1814.0,86.0,1756.6666,38.22222,1728.0,3.0,10.0,7.0,7.6666665,3.1111112,10.0,4.0,4.0,0.0,4.0,0.0,4.0,124.0,170.0,46.0,139.33333,20.444445,124.0,1.36,1.91,0.55,1.7266667,0.24444444,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,5.6666665,3.1111112,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.6666665,3.1111112,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.3333335,3.1111112,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.3333335,3.1111112,2.0,10.32,22.235,11.915,14.291667,5.2955556,10.32,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,0.5953947,0.59538835,0.39693192,0.26461706,0.5953947,194.0,225.0,31.0,214.66667,13.777778,225.0,2.0,0.0,5.6666665,0.0,0.0,0.072836176,0.016185816,0.0005336167,-6.345034,-0.07886786,0.0,13.603,-0.5244987
3.0,0.71145827,0.6758002,0.66723156,0.66671056,0.6666678,5.0,90.0,85.0,18.666666,18.222221,5.0,16.0,72.0,56.0,60.666668,15.111111,72.0,10.811,232.03806,221.22707,44.54403,44.97737,10.811,2023.0,2348.0,325.0,2274.5557,97.92593,2348.0,3.0,13.0,10.0,10.333333,3.5555556,13.0,2.0,7.0,5.0,3.0,1.3333334,2.0,84.0,206.0,122.0,109.77778,34.37037,84.0,1.3,2.04,0.74,1.8733333,0.22222222,2.04,1.0,2.0,1.0,1.7777778,0.34567901,2.0,0.0,1.0,1.0,0.6666667,0.44444445,1.0,0.0,5.0,5.0,1.3333334,1.7777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,3.7777777,1.037037,3.0,0.0,1.0,1.0,0.22222222,0.34567901,0.0,0.0,5.0,5.0,3.3333333,2.2222223,5.0,0.0,8.0,8.0,2.0,2.6666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,5.5555553,0.7407407,5.0,7.1725,32.37,25.1975,10.865,4.923333,7.1725,0.0,1.524,1.524,1.016,0.67733335,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,229.0,63.0,186.55556,27.407408,166.0,1.7777778,0.6666667,1.3333334,0.0,0.0,0.12794258,0.0155171715,7.2144445e-05,-7.983125,-0.015255743,0.0,9.47277,-0.59448916
2.0,0.70710677,0.62996054,0.57434916,0.55204475,0.5358867,72.0,78.0,6.0,75.0,3.0,72.0,45.0,63.0,18.0,54.0,9.0,45.0,178.49,195.084,16.594,186.787,8.297,178.49,2041.4,2506.0,464.6,2273.7,232.3,2041.4,4.0,10.0,6.0,7.0,3.0,4.0,6.0,6.0,0.0,6.0,0.0,6.0,136.0,175.0,39.0,155.5,19.5,136.0,1.3,2.28,0.98,1.79,0.49,1.3,1.0,2.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,5.5,3.5,2.0,14.0,14.0,0.0,14.0,0.0,14.0,18.0,24.0,6.0,21.0,3.0,18.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,4.5,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,5.0,3.0,2.0,15.02,22.2,7.18,18.61,3.59,15.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,209.5,15.5,194.0,1.5,0.0,5.5,14.0,0.0,0.2134508,0.0533627,0.0019324,-9.155788,-0.39869723,0.0,18.6442,-1.1502243
2.0,0.74535596,0.6933613,0.6707822,0.6674082,0.6667317,42.0,72.0,30.0,52.0,13.333333,42.0,45.0,50.0,5.0,48.333332,2.2222223,50.0,95.96,178.49,82.53,123.47,36.68,95.96,2506.0,2896.0,390.0,2766.0,173.33333,2896.0,4.0,6.0,2.0,5.3333335,0.8888889,6.0,5.0,6.0,1.0,5.3333335,0.44444445,5.0,154.0,175.0,21.0,161.0,9.333333,154.0,1.3,2.16,0.86,1.8733333,0.38222224,2.16,1.0,2.0,1.0,1.3333334,0.44444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,4.0,1.3333334,5.0,0.0,14.0,14.0,4.6666665,6.2222223,0.0,6.0,18.0,12.0,10.0,5.3333335,6.0,0.0,1.0,1.0,0.6666667,0.44444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,3.0,6.0,1.3333334,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,2.0,6.6666665,0.8888889,6.0,15.69,22.2,6.51,17.86,2.8933334,15.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,229.0,35.0,217.33333,15.555555,229.0,1.3333334,0.0,4.0,4.6666665,0.0,0.1688126,0.03751391,0.00020498333,-10.720579,-0.13412985,0.0,18.0548,-0.17006679
2.0,0.74535596,0.6933613,0.6707822,0.6674082,0.6667317,40.0,46.0,6.0,44.0,2.6666667,46.0,44.0,62.0,18.0,56.0,8.0,62.0,91.224,106.42,15.196,101.35467,6.753778,106.42,1828.05,2128.0,299.95,1928.0333,133.31111,1828.05,4.0,10.0,6.0,8.0,2.6666667,10.0,5.0,5.0,0.0,5.0,0.0,5.0,139.0,175.0,36.0,151.0,16.0,139.0,1.33,2.2,0.87,1.91,0.38666666,2.2,0.0,2.0,2.0,0.6666667,0.8888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,7.3333335,3.5555556,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,6.0,8.0,2.6666667,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.6666667,3.5555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.6666667,3.5555556,0.0,14.41,23.195,8.785,17.338333,3.9044445,14.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,214.66667,13.777778,225.0,0.6666667,0.0,7.3333335,0.0,0.0,0.17239973,0.03831105,-0.0002134,-7.058042,0.0036844143,0.0,17.3003,-0.7578391
2.0,0.74535596,0.6933613,0.6707822,0.6674082,0.6667317,14.0,90.0,76.0,39.333332,33.77778,14.0,16.0,78.0,62.0,57.333332,27.555555,78.0,28.0855,232.03806,203.95256,96.06969,90.645584,28.0855,1687.0,2023.0,336.0,1799.0,149.33333,1687.0,3.0,14.0,11.0,10.333333,4.888889,14.0,3.0,7.0,4.0,4.3333335,1.7777778,3.0,111.0,206.0,95.0,142.66667,42.22222,111.0,1.3,1.9,0.6,1.7,0.26666668,1.9,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.3333334,0.8888889,2.0,0.0,2.0,2.0,0.6666667,0.8888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.6666667,1.7777778,4.0,0.0,8.0,8.0,2.6666667,3.5555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,5.3333335,1.7777778,4.0,20.44,32.37,11.93,24.416666,5.3022223,20.44,0.0,0.773,0.773,0.51533335,0.34355557,0.773,0.0,0.0,0.0,0.0,0.0,0.0,225.0,227.0,2.0,226.33333,0.8888889,227.0,2.0,1.3333334,0.6666667,0.0,0.0,0.08606882,0.019126404,0.0002188,-6.708833,0.00015781,0.0,20.5064,-0.6212324
2.0,0.70710677,0.62996054,0.57434916,0.55204475,0.5358867,44.0,90.0,46.0,67.0,23.0,44.0,16.0,56.0,40.0,36.0,20.0,16.0,101.07,232.03806,130.96806,166.55403,65.48403,101.07,2023.0,2607.0,584.0,2315.0,292.0,2023.0,3.0,8.0,5.0,5.5,2.5,3.0,5.0,7.0,2.0,6.0,1.0,5.0,146.0,206.0,60.0,176.0,30.0,146.0,1.3,2.2,0.9,1.75,0.45,1.3,1.0,2.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,4.5,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,6.0,2.0,4.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.5,2.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,6.0,2.0,4.0,13.51,32.37,18.86,22.94,9.43,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,209.5,15.5,194.0,1.5,0.0,4.5,0.0,0.0,0.18331352,0.04582838,-8.03e-05,-8.842048,-0.17632142,0.0,22.5614,-0.5345447
2.0,0.74535596,0.6933613,0.6707822,0.6674082,0.6667317,46.0,64.0,18.0,52.0,8.0,46.0,27.0,62.0,35.0,50.333332,15.555555,62.0,106.42,157.25,50.83,123.363335,22.59111,106.42,1586.0,1828.05,242.05,1747.3667,107.577774,1828.05,3.0,10.0,7.0,7.6666665,3.1111112,10.0,5.0,6.0,1.0,5.3333335,0.44444445,5.0,139.0,196.0,57.0,158.0,25.333334,139.0,1.2,2.2,1.0,1.8666667,0.44444445,2.2,0.0,2.0,2.0,0.6666667,0.8888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,7.0,4.0,10.0,0.0,7.0,7.0,2.3333333,3.1111112,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,3.0,4.0,0.0,0.0,7.0,7.0,2.3333333,3.1111112,0.0,0.0,16.0,16.0,5.3333335,7.111111,0.0,14.41,32.05,17.64,20.29,7.84,14.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,214.66667,13.777778,225.0,0.6666667,0.0,7.0,2.3333333,0.0,0.22119921,0.04915538,7.415e-05,-5.8107715,0.071347356,0.0,18.8589,-0.80793554
