pretty_comp,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,minimum AtomicWeight,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,minimum Row,maximum Row,range Row,mean Row,avg_dev Row,mode Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,maximum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,maximum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,maximum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,avg_dev NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,range GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,maximum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,delta_e,magmom_pa,energy_pa,stability,bandgap,volume_pa
Pu2Mg,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,12.0,94.0,82.0,66.66666666666667,36.44444444444444,94.0,24.0,68.0,44.0,38.66666666666666,19.55555555555556,24.0,24.305,244.0,219.695,170.76833333333332,97.64222222222224,244.0,913.0,923.0,10.0,916.3333333333334,4.444444444444457,913.0,2.0,3.0,1.0,2.6666666666666665,0.4444444444444445,3.0,3.0,7.0,4.0,5.666666666666667,1.7777777777777777,7.0,141.0,187.0,46.0,171.66666666666666,20.444444444444446,187.0,1.28,1.31,0.03,1.29,0.0133333333333333,1.28,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,2.6666666666666665,6.0,2.0,8.0,6.0,6.0,2.6666666666666665,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,5.333333333333333,3.555555555555556,8.0,0.0,8.0,8.0,5.333333333333333,3.555555555555556,8.0,18.08,22.89,4.810000000000002,19.683333333333334,2.13777777777778,18.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3180036375,0.3180036375,0.212002425,0.14133495,0.3180036375,11.0,194.0,183.0,72.0,81.33333333333333,11.0,2.0,0.0,0.0,4.0,False,0.0002249746893983,4.999437542184558e-05,0.7205895102779999,4.47301683333,-9.32583812667,0.7205895102779999,0.0,32.1045
Pu3Al,2,0.7905694150420949,0.7591472429689157,0.7506162703470459,0.7500489811920582,0.7500012701219063,13.0,94.0,81.0,73.75,30.375,94.0,24.0,73.0,49.0,36.25,18.375,24.0,26.9815386,244.0,217.0184614,189.74538465,81.38192302499999,244.0,913.0,933.47,20.470000000000027,918.1175,7.676250000000039,913.0,3.0,13.0,10.0,5.5,3.75,3.0,3.0,7.0,4.0,6.0,1.5,7.0,121.0,187.0,66.0,170.5,24.75,187.0,1.28,1.61,0.33,1.3625,0.12375,1.28,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,4.5,2.25,6.0,3.0,8.0,5.0,6.75,1.875,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,3.0,8.0,5.0,8.0,3.0,7.25,1.125,8.0,16.48,18.08,1.599999999999998,17.68,0.5999999999999988,18.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3180036375,0.3180036375,0.238502728125,0.1192513640624999,0.3180036375,11.0,225.0,214.0,64.5,80.25,11.0,2.0,0.25,0.0,4.5,False,0.0268577401186475,0.0050358262722464,-0.02892908,4.18843285,-11.689151555,0.10339500375,0.0,23.9581
Np3Al,2,0.7905694150420949,0.7591472429689157,0.7506162703470459,0.7500489811920582,0.7500012701219063,13.0,93.0,80.0,73.0,30.0,93.0,22.0,73.0,51.0,34.75,19.125,22.0,26.9815386,237.0,210.0184614,184.49538465,78.75692302499999,237.0,917.0,933.47,16.470000000000027,921.1175,6.176250000000039,917.0,3.0,13.0,10.0,5.5,3.75,3.0,3.0,7.0,4.0,6.0,1.5,7.0,121.0,190.0,69.0,172.75,25.875,190.0,1.36,1.61,0.25,1.4225,0.09375,1.36,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,4.0,4.0,3.0,1.5,4.0,3.0,7.0,4.0,6.0,1.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,9.0,9.0,6.75,3.375,9.0,0.0,10.0,10.0,7.5,3.75,10.0,5.0,19.0,14.0,15.5,5.25,19.0,16.48,18.45375,1.973749999999999,17.9603125,0.7401562499999992,18.45375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,225.0,163.0,102.75,61.125,62.0,2.0,0.25,0.75,3.0,False,0.0155035629945915,0.0029069180614859,0.337123158438,1.889191,-10.3045169975,0.390207673281,0.0,19.6451
NpSb,2,0.7071067811865476,0.6299605249474366,0.5743491774985174,0.5520447568369062,0.5358867312681466,51.0,93.0,42.0,72.0,21.0,51.0,22.0,85.0,63.0,53.5,31.5,22.0,121.76,237.0,115.24,179.38,57.62,121.76,903.78,917.0,13.220000000000027,910.39,6.610000000000014,903.78,3.0,15.0,12.0,9.0,6.0,3.0,5.0,7.0,2.0,6.0,1.0,5.0,139.0,190.0,51.0,164.5,25.5,139.0,1.36,2.05,0.6899999999999997,1.705,0.3449999999999998,1.36,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,1.5,1.5,0.0,1.0,10.0,9.0,5.5,4.5,1.0,0.0,4.0,4.0,2.0,2.0,0.0,7.0,15.0,8.0,11.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,1.5,0.0,0.0,9.0,9.0,4.5,4.5,0.0,0.0,10.0,10.0,5.0,5.0,0.0,3.0,19.0,16.0,11.0,8.0,3.0,18.45375,31.56,13.10625,25.006875,6.553125,18.45375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,166.0,104.0,114.0,52.0,62.0,2.0,1.5,5.5,2.0,False,0.1122143941556312,0.0280535985389078,-0.191958601875,1.99021405,-8.720876975,-0.0969403574416,0.0,30.0194
PuAl2,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,13.0,94.0,81.0,40.0,36.0,13.0,24.0,73.0,49.0,56.66666666666666,21.777777777777786,73.0,26.9815386,244.0,217.0184614,99.32102573333331,96.45264951111112,26.9815386,913.0,933.47,20.470000000000027,926.6466666666666,9.097777777777802,933.47,3.0,13.0,10.0,9.666666666666666,4.444444444444445,13.0,3.0,7.0,4.0,4.333333333333333,1.7777777777777777,3.0,121.0,187.0,66.0,143.0,29.33333333333333,121.0,1.28,1.61,0.33,1.5,0.1466666666666667,1.61,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,2.6666666666666665,0.0,3.0,8.0,5.0,4.666666666666667,2.2222222222222223,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.333333333333333,2.222222222222222,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.6666666666666665,3.555555555555556,0.0,5.0,8.0,3.0,6.0,1.3333333333333333,5.0,16.48,18.08,1.599999999999998,17.013333333333332,0.7111111111111098,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3180036375,0.3180036375,0.1060012125,0.14133495,0.0,11.0,225.0,214.0,153.66666666666666,95.11111111111111,225.0,2.0,0.6666666666666666,0.0,2.0,False,0.0268577401186475,0.0059683866930327,-0.352864223333,1.84482808333,-7.61615169,-0.100336662499,0.0,19.7668
PuAl3,2,0.7905694150420949,0.7591472429689157,0.7506162703470459,0.7500489811920582,0.7500012701219063,13.0,94.0,81.0,33.25,30.375,13.0,24.0,73.0,49.0,60.75,18.375,73.0,26.9815386,244.0,217.0184614,81.23615395,81.38192302499999,26.9815386,913.0,933.47,20.470000000000027,928.3525,7.676250000000039,933.47,3.0,13.0,10.0,10.5,3.75,13.0,3.0,7.0,4.0,4.0,1.5,3.0,121.0,187.0,66.0,137.5,24.75,121.0,1.28,1.61,0.33,1.5275,0.12375,1.61,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.5,2.25,0.0,3.0,8.0,5.0,4.25,1.875,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.75,1.875,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,3.0,0.0,5.0,8.0,3.0,5.75,1.125,5.0,16.48,18.08,1.599999999999998,16.88,0.5999999999999988,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3180036375,0.3180036375,0.079500909375,0.1192513640625,0.0,11.0,225.0,214.0,171.5,80.25,225.0,2.0,0.75,0.0,1.5,False,0.0268577401186475,0.0050358262722464,-0.266834425,1.383817875,-6.65073489,0.02230813375,0.0,19.3218
PuAl4,2,0.8246211251235323,0.8041451517178116,0.8001561890005822,0.8000069752639724,0.8000000762939126,13.0,94.0,81.0,29.2,25.92,13.0,24.0,73.0,49.0,63.2,15.679999999999998,73.0,26.9815386,244.0,217.0184614,70.38523088,69.445907648,26.9815386,913.0,933.47,20.470000000000027,929.376,6.550400000000036,933.47,3.0,13.0,10.0,11.0,3.2,13.0,3.0,7.0,4.0,3.8,1.2799999999999998,3.0,121.0,187.0,66.0,134.2,21.12,121.0,1.28,1.61,0.33,1.544,0.1056,1.61,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.8,0.3199999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,1.2,1.92,0.0,3.0,8.0,5.0,4.0,1.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,1.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.6,2.56,0.0,5.0,8.0,3.0,5.6,0.9599999999999996,5.0,16.48,18.08,1.599999999999998,16.8,0.5119999999999998,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3180036375,0.3180036375,0.0636007275,0.1017611639999999,0.0,11.0,225.0,214.0,182.2,68.48,225.0,2.0,0.8,0.0,1.2,False,0.0268577401186475,0.0042972384189836,-0.25090956,1.11909841,-6.107177824,-0.0266237353333,0.0,18.9471
NpAl2,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,13.0,93.0,80.0,39.66666666666666,35.55555555555555,13.0,22.0,73.0,51.0,56.0,22.666666666666668,73.0,26.9815386,237.0,210.0184614,96.9876924,93.3415384,26.9815386,917.0,933.47,16.470000000000027,927.98,7.320000000000012,933.47,3.0,13.0,10.0,9.666666666666666,4.444444444444445,13.0,3.0,7.0,4.0,4.333333333333333,1.7777777777777777,3.0,121.0,190.0,69.0,144.0,30.666666666666668,121.0,1.36,1.61,0.25,1.5266666666666666,0.1111111111111111,1.61,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,3.0,7.0,4.0,4.333333333333333,1.7777777777777777,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.333333333333333,2.222222222222222,5.0,0.0,9.0,9.0,3.0,4.0,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444444,0.0,5.0,19.0,14.0,9.666666666666666,6.222222222222221,5.0,16.48,18.45375,1.973749999999999,17.137916666666666,0.8772222222222213,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,225.0,163.0,170.66666666666666,72.44444444444444,225.0,2.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,False,0.0155035629945915,0.0034452362210203,-0.14155870625,1.42463453333,-6.95214292,-0.0559926219764,0.0,19.3837
NpAl3,2,0.7905694150420949,0.7591472429689157,0.7506162703470459,0.7500489811920582,0.7500012701219063,13.0,93.0,80.0,33.0,30.0,13.0,22.0,73.0,51.0,60.25,19.125,73.0,26.9815386,237.0,210.0184614,79.48615395,78.75692302499999,26.9815386,917.0,933.47,16.470000000000027,929.3525,6.176250000000039,933.47,3.0,13.0,10.0,10.5,3.75,13.0,3.0,7.0,4.0,4.0,1.5,3.0,121.0,190.0,69.0,138.25,25.875,121.0,1.36,1.61,0.25,1.5475,0.09375,1.61,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,4.0,4.0,1.0,1.5,0.0,3.0,7.0,4.0,4.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.75,1.875,5.0,0.0,9.0,9.0,2.25,3.375,0.0,0.0,10.0,10.0,2.5,3.75,0.0,5.0,19.0,14.0,8.5,5.25,5.0,16.48,18.45375,1.973749999999999,16.9734375,0.7401562499999992,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,225.0,163.0,184.25,61.125,225.0,2.0,0.75,0.25,1.0,False,0.0155035629945915,0.0029069180614859,-0.0962618446875,0.97961355,-6.14063487,0.01652058625,0.0,19.2209
NpAl4,2,0.8246211251235323,0.8041451517178116,0.8001561890005822,0.8000069752639724,0.8000000762939126,13.0,93.0,80.0,29.0,25.6,13.0,22.0,73.0,51.0,62.8,16.32,73.0,26.9815386,237.0,210.0184614,68.98523087999999,67.205907648,26.9815386,917.0,933.47,16.470000000000027,930.176,5.270399999999995,933.47,3.0,13.0,10.0,11.0,3.2,13.0,3.0,7.0,4.0,3.8,1.2799999999999998,3.0,121.0,190.0,69.0,134.8,22.080000000000005,121.0,1.36,1.61,0.25,1.56,0.08,1.61,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.8,0.3199999999999999,1.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,4.0,4.0,0.8,1.28,0.0,3.0,7.0,4.0,3.8,1.2799999999999998,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,1.6,5.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,10.0,10.0,2.0,3.2,0.0,5.0,19.0,14.0,7.8,4.48,5.0,16.48,18.45375,1.973749999999999,16.87475,0.6315999999999988,16.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,225.0,163.0,192.4,52.15999999999999,225.0,2.0,0.8,0.2,0.8,False,0.0155035629945915,0.0024805700791346,-0.09551666575,0.86595568,-5.680162977999999,-0.010581442,0.0,18.8508
PuAs,2,0.7071067811865476,0.6299605249474366,0.5743491774985174,0.5520447568369062,0.5358867312681466,33.0,94.0,61.0,63.5,30.5,33.0,24.0,84.0,60.0,54.0,30.0,24.0,74.9216,244.0,169.0784,159.4608,84.5392,74.9216,913.0,1090.0,177.0,1001.5,88.5,913.0,3.0,15.0,12.0,9.0,6.0,3.0,4.0,7.0,3.0,5.5,1.5,4.0,119.0,187.0,68.0,153.0,34.0,119.0,1.28,2.18,0.9000000000000001,1.73,0.45,1.28,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,1.5,1.5,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,6.0,6.0,3.0,3.0,0.0,8.0,15.0,7.0,11.5,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,4.0,0.0,3.0,8.0,5.0,5.5,2.5,3.0,18.08,22.175,4.095000000000002,20.1275,2.047500000000001,18.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3180036375,0.3180036375,0.15900181875,0.15900181875,0.0,11.0,166.0,155.0,88.5,77.5,11.0,2.0,1.5,5.0,3.0,False,0.1833135174018891,0.0458283793504722,-1.0315635925,2.49741475,-10.50671455,0.001233135,0.0,24.7377
Pu3Ge,2,0.7905694150420949,0.7591472429689157,0.7506162703470459,0.7500489811920582,0.7500012701219063,32.0,94.0,62.0,78.5,23.25,94.0,24.0,79.0,55.0,37.75,20.625,24.0,72.64,244.0,171.36,201.16,64.25999999999999,244.0,913.0,1211.4,298.4000000000001,987.6,111.90000000000003,913.0,3.0,14.0,11.0,5.75,4.125,3.0,4.0,7.0,3.0,6.25,1.125,7.0,120.0,187.0,67.0,170.25,25.125,187.0,1.28,2.01,0.7299999999999998,1.4625,0.2737499999999999,1.28,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.5,0.75,0.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,6.0,6.0,4.5,2.25,6.0,8.0,14.0,6.0,9.5,2.25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,3.0,8.0,4.0,8.0,4.0,7.0,1.5,8.0,18.08,23.005,4.925000000000001,19.31125,1.846875,18.08,0.0,0.383,0.383,0.09575,0.143625,0.0,0.0,0.3180036375,0.3180036375,0.238502728125,0.1192513640624999,0.3180036375,11.0,225.0,214.0,64.5,80.25,11.0,2.0,0.5,2.5,4.5,False,0.1247318653784049,0.0233872247584509,-0.23369898125,4.311187325,-12.1134097375,-0.0117881825,0.0,23.6608
UAu2,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,79.0,92.0,13.0,83.33333333333333,5.777777777777776,79.0,20.0,66.0,46.0,50.66666666666666,20.444444444444446,66.0,196.966569,238.02891,41.062341,210.654016,18.24992933333333,196.966569,1337.33,1408.0,70.67000000000007,1360.8866666666663,31.408888888888896,1337.33,3.0,11.0,8.0,8.333333333333334,3.555555555555556,11.0,6.0,7.0,1.0,6.333333333333333,0.4444444444444443,6.0,136.0,196.0,60.0,156.0,26.666666666666668,136.0,1.38,2.54,1.16,2.1533333333333333,0.5155555555555557,2.54,1.0,2.0,1.0,1.3333333333333333,0.4444444444444444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,9.0,7.0,4.0,10.0,3.0,14.0,11.0,10.333333333333334,4.888888888888888,14.0,6.0,25.0,19.0,18.666666666666668,8.444444444444445,25.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,3.0,4.0,0.0,0.0,11.0,11.0,3.6666666666666665,4.888888888888889,0.0,1.0,20.0,19.0,7.333333333333333,8.444444444444445,1.0,16.7,20.025,3.325,17.808333333333334,1.477777777777778,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,225.0,162.0,171.0,72.0,225.0,1.3333333333333333,0.0,7.0,10.333333333333334,False,0.2856626862640425,0.063480596947565,-0.279987048333,0.8083936666670001,-6.22197111,-0.1361776270419999,0.0,20.6451
NpAs2,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,33.0,93.0,60.0,53.0,26.666666666666668,33.0,22.0,84.0,62.0,63.333333333333336,27.55555555555556,84.0,74.9216,237.0,162.0784,128.94773333333333,72.03484444444445,74.9216,917.0,1090.0,173.0,1032.3333333333333,76.88888888888891,1090.0,3.0,15.0,12.0,11.0,5.333333333333333,15.0,4.0,7.0,3.0,5.0,1.3333333333333333,4.0,119.0,190.0,71.0,142.66666666666666,31.55555555555556,119.0,1.36,2.18,0.8200000000000001,1.906666666666667,0.3644444444444444,2.18,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,1.0,10.0,9.0,7.0,4.0,10.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,7.0,15.0,8.0,12.333333333333334,3.555555555555556,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.3333333333333333,3.0,0.0,9.0,9.0,3.0,4.0,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444444,0.0,3.0,19.0,16.0,8.333333333333334,7.111111111111112,3.0,18.45375,22.175,3.721250000000001,20.93458333333333,1.65388888888889,22.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,166.0,104.0,131.33333333333334,46.22222222222222,166.0,2.0,2.0,7.0,1.3333333333333333,False,0.1547306964721815,0.0343845992160403,-0.552596872917,0.995196883333,-7.96730040333,-0.0627054508225,0.0,20.9425
Ce3Al,2,0.7905694150420949,0.7591472429689157,0.7506162703470459,0.7500489811920582,0.7500012701219063,13.0,58.0,45.0,46.75,16.875,58.0,15.0,73.0,58.0,29.5,21.75,15.0,26.9815386,140.116,113.13446140000002,111.83238465000002,42.425423025,140.116,933.47,1071.0,137.52999999999997,1036.6175,51.57374999999996,1071.0,3.0,13.0,10.0,5.5,3.75,3.0,3.0,6.0,3.0,5.25,1.125,6.0,121.0,204.0,83.0,183.25,31.125,204.0,1.12,1.61,0.49,1.2425000000000002,0.18375,1.12,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,1.0,1.0,0.75,0.375,1.0,3.0,4.0,1.0,3.75,0.375,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,9.0,9.0,6.75,3.375,9.0,0.0,13.0,13.0,9.75,4.875,13.0,5.0,22.0,17.0,17.75,6.375,22.0,16.48,37.24,20.76,32.05,7.785000000000003,37.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,201.75,11.625,194.0,2.0,0.25,0.75,0.75,False,0.0582590102347919,0.0109235644190234,-0.160621384375,0.00442225,-4.67993436625,0.02846444,0.0,31.2525
SmAu,2,0.7071067811865476,0.6299605249474366,0.5743491774985174,0.5520447568369062,0.5358867312681466,62.0,79.0,17.0,70.5,8.5,62.0,23.0,66.0,43.0,44.5,21.5,23.0,150.36,196.966569,46.60656899999998,173.6632845,23.30328449999999,150.36,1337.33,1345.0,7.670000000000073,1341.165,3.835000000000037,1337.33,3.0,11.0,8.0,7.0,4.0,3.0,6.0,6.0,0.0,6.0,0.0,6.0,136.0,198.0,62.0,167.0,31.0,136.0,1.17,2.54,1.37,1.855,0.685,1.17,1.0,2.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,6.0,14.0,8.0,10.0,4.0,6.0,8.0,25.0,17.0,16.5,8.5,8.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,4.0,0.0,1.0,8.0,7.0,4.5,3.5,1.0,16.7,33.23,16.529999999999998,24.965,8.264999999999999,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,225.0,59.0,195.5,29.5,166.0,1.5,0.0,5.0,10.0,False,0.3745131672148889,0.0936282918037222,-0.83779353375,0.000245475,-4.828578195,-0.372937530625,0.0,25.1229
NdAu,2,0.7071067811865476,0.6299605249474366,0.5743491774985174,0.5520447568369062,0.5358867312681466,60.0,79.0,19.0,69.5,9.5,60.0,19.0,66.0,47.0,42.5,23.5,19.0,144.242,196.966569,52.724569,170.6042845,26.3622845,144.242,1294.0,1337.33,43.32999999999993,1315.665,21.664999999999964,1294.0,3.0,11.0,8.0,7.0,4.0,3.0,6.0,6.0,0.0,6.0,0.0,6.0,136.0,201.0,65.0,168.5,32.5,136.0,1.14,2.54,1.4,1.84,0.7000000000000001,1.14,1.0,2.0,1.0,1.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,4.0,14.0,10.0,9.0,5.0,4.0,6.0,25.0,19.0,15.5,9.5,6.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,1.0,10.0,9.0,5.5,4.5,1.0,16.7,34.81,18.110000000000003,25.755000000000003,9.055,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,209.5,15.5,194.0,1.5,0.0,5.0,9.0,False,0.387373605815584,0.096843401453896,-0.8095148375,0.000615675,-4.824373875,-0.100952175,0.0,25.9485
