pretty_comp,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,minimum AtomicWeight,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,minimum Row,maximum Row,range Row,mean Row,avg_dev Row,mode Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,maximum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,maximum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,maximum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,avg_dev NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,range GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,maximum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,delta_e,magmom_pa,energy_pa,stability,bandgap,volume_pa
NdMg2,2,0.7453559924999299,0.6933612743506347,0.6707822056951861,0.667408235036379,0.6667317422407864,12.0,60.0,48.0,28.0,21.33333333333333,12.0,19.0,68.0,49.0,51.66666666666666,21.777777777777786,68.0,24.305,144.242,119.93699999999998,64.28399999999999,53.30533333333333,24.305,923.0,1294.0,371.0,1046.6666666666667,164.8888888888889,923.0,2.0,3.0,1.0,2.333333333333333,0.4444444444444445,2.0,3.0,6.0,3.0,4.0,1.3333333333333333,3.0,141.0,201.0,60.0,161.0,26.666666666666668,141.0,1.14,1.31,0.1700000000000001,1.2533333333333332,0.0755555555555556,1.31,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.3333333333333333,1.777777777777778,0.0,2.0,6.0,4.0,3.333333333333333,1.777777777777778,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444444,0.0,0.0,10.0,10.0,3.333333333333333,4.444444444444444,0.0,22.89,34.81,11.920000000000002,26.863333333333333,5.297777777777778,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,2.0,0.0,0.0,1.3333333333333333,False,0.0071989624323787,0.0015997694294174,-0.105840949444,0.0310164833333,-2.721823695,0.0150446800297,0.0,27.1719
CrTe,2,0.7071067811865476,0.6299605249474366,0.5743491774985174,0.5520447568369062,0.5358867312681466,24.0,52.0,28.0,38.0,14.0,24.0,49.0,90.0,41.0,69.5,20.5,49.0,51.9961,127.6,75.6039,89.79804999999999,37.80195,51.9961,722.66,2180.0,1457.34,1451.33,728.6700000000001,722.66,6.0,16.0,10.0,11.0,5.0,6.0,4.0,5.0,1.0,4.5,0.5,4.0,138.0,139.0,1.0,138.5,0.5,138.0,1.66,2.1,0.4400000000000001,1.88,0.22,1.66,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,2.0,2.0,0.0,5.0,10.0,5.0,7.5,2.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,10.0,11.0,5.0,6.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,5.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0,2.0,2.0,11.19,34.7633333333,23.5733333333,22.97666666665,11.78666666665,11.19,0.0,0.464,0.464,0.232,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,229.0,77.0,190.5,38.5,152.0,1.5,2.0,7.5,0.0,False,0.047247390196789,0.0118118475491972,-0.0469602991666999,1.9407168625,-6.3721064775,0.127420243125,0.0,22.9462
ReB3,2,0.7905694150420949,0.7591472429689157,0.7506162703470459,0.7500489811920582,0.7500012701219063,5.0,75.0,70.0,22.5,26.25,5.0,54.0,72.0,18.0,67.5,6.75,72.0,10.811,186.207,175.396,54.66,65.7735,10.811,2348.0,3459.0,1111.0,2625.75,416.625,2348.0,7.0,13.0,6.0,11.5,2.25,13.0,2.0,6.0,4.0,3.0,1.5,2.0,84.0,151.0,67.0,100.75,25.125,84.0,1.9,2.04,0.1400000000000001,2.005,0.0525000000000001,2.04,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,14.0,14.0,3.5,5.25,0.0,3.0,21.0,18.0,7.5,6.75,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.75,1.875,5.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,7.1725,14.655,7.482499999999999,9.043125,2.8059375,7.1725,0.0,1.524,1.524,1.143,0.5715,1.524,0.0,0.0,0.0,0.0,0.0,0.0,166.0,194.0,28.0,173.0,10.5,166.0,2.0,0.75,1.25,3.5,False,0.0048880145841702,0.0009165027345319,0.75287785625,0.000966925,-7.3613025475,1.067982505,0.0,8.10365
Cs2KCrF6,4,0.648074069840786,0.6091199348919785,0.6005237760880776,0.6000397970967368,0.6000010180820753,9.0,55.0,46.0,20.7,14.379999999999995,9.0,3.0,93.0,90.0,62.0,37.2,93.0,18.9984032,132.9054519,113.9070487,47.0895723,35.30765738,18.9984032,53.5,2180.0,2126.5,344.071,367.1858,53.5,1.0,17.0,16.0,11.1,7.08,17.0,2.0,6.0,4.0,3.2,1.4400000000000002,2.0,57.0,244.0,187.0,117.2,72.24,57.0,0.79,3.98,3.19,2.794,1.4232,3.98,1.0,2.0,1.0,1.6,0.4799999999999998,2.0,0.0,5.0,5.0,3.0,2.4,5.0,0.0,5.0,5.0,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,5.1,2.46,7.0,0.0,1.0,1.0,0.4,0.48,0.0,0.0,1.0,1.0,0.6,0.48,1.0,0.0,5.0,5.0,0.5,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,1.5,0.9,1.0,9.7075,115.765,106.0575,37.40716666667,38.483033333338,9.7075,0.0,1.97,1.97,1.182,0.9456,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,229.0,214.0,100.6,102.72,15.0,1.6,3.0,0.5,0.0,True,0.9214503994822504,0.2150778478002676,-3.05097594598,0.30000473,-5.156571002,-0.107546893866,2.441,17.0035
Ce2SeF4,3,0.6546536707079771,0.5970484566258902,0.5750650283013602,0.5720691506685885,0.5714844049399023,9.0,58.0,49.0,26.571428571428573,20.081632653061224,9.0,15.0,93.0,78.0,70.14285714285714,31.51020408163265,93.0,18.9984032,140.116,121.11759680000002,62.16937325714286,49.33825149387756,18.9984032,53.5,1071.0,1017.5,407.1428571428572,404.16326530612247,53.5,3.0,17.0,14.0,12.857142857142858,5.63265306122449,17.0,2.0,6.0,4.0,3.4285714285714284,1.6326530612244898,2.0,57.0,204.0,147.0,108.0,58.285714285714285,57.0,1.12,3.98,2.86,2.9585714285714286,1.1673469387755102,3.98,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.4285714285714284,1.959183673469388,5.0,0.0,10.0,10.0,1.7142857142857142,2.3673469387755097,0.0,0.0,1.0,1.0,0.2857142857142857,0.4081632653061224,0.0,4.0,16.0,12.0,7.428571428571429,2.448979591836735,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.8571428571428571,0.4897959183673469,1.0,0.0,9.0,9.0,2.571428571428572,3.673469387755103,0.0,0.0,13.0,13.0,3.7142857142857135,5.306122448979592,0.0,1.0,22.0,21.0,7.142857142857143,8.489795918367347,1.0,9.7075,37.24,27.5325,19.890000000000004,11.63714285714286,9.7075,0.0,1.97,1.97,1.239857142857143,0.8344489795918367,1.97,0.0,0.0,0.0,0.0,0.0,0.0,14.0,194.0,180.0,66.0,73.14285714285714,15.0,2.0,3.4285714285714284,1.7142857142857142,0.2857142857142857,True,0.8706068713567087,0.1911488252700376,-3.79971194736,0.000336671428571,-6.49445645714,-0.0389648933604,3.522,16.1142
PmMg,2,0.7071067811865476,0.6299605249474366,0.5743491774985174,0.5520447568369062,0.5358867312681466,12.0,61.0,49.0,36.5,24.5,12.0,21.0,68.0,47.0,44.5,23.5,21.0,24.305,145.0,120.695,84.6525,60.3475,24.305,923.0,1373.0,450.0,1148.0,225.0,923.0,2.0,3.0,1.0,2.5,0.5,2.0,3.0,6.0,3.0,4.5,1.5,3.0,141.0,199.0,58.0,170.0,29.0,141.0,1.155,1.31,0.155,1.2325,0.0775,1.155,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5,2.5,0.0,2.0,7.0,5.0,4.5,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,4.5,4.5,0.0,0.0,9.0,9.0,4.5,4.5,0.0,22.89,33.8425,10.9525,28.36625,5.47625,22.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,2.0,0.0,0.0,2.5,False,0.0080672833944288,0.0020168208486072,-0.111143110833,0.0078512,-3.25501873,0.000101015,0.0,28.7004
CrCo2Bi,3,0.6123724356957945,0.538608672507971,0.5060993646249713,0.5011086692289443,0.5000975705253322,24.0,83.0,59.0,40.25,21.375,27.0,49.0,86.0,37.0,62.75,11.625,58.0,51.9961,208.9804,156.98430000000002,94.7107225,57.13483875,58.933195,544.4,2180.0,1635.6,1565.1,510.35,1768.0,6.0,15.0,9.0,9.75,2.625,9.0,4.0,6.0,2.0,4.5,0.75,4.0,126.0,148.0,22.0,134.75,8.75,126.0,1.66,2.02,0.3600000000000001,1.86,0.1,1.88,1.0,2.0,1.0,1.75,0.375,2.0,0.0,3.0,3.0,0.75,1.125,0.0,5.0,10.0,5.0,7.25,1.375,7.0,0.0,14.0,14.0,3.5,5.25,0.0,6.0,29.0,23.0,13.25,7.875,9.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,3.0,3.0,0.75,1.125,0.0,0.0,5.0,5.0,2.75,1.375,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,3.75,1.125,3.0,10.245,32.95,22.705000000000005,16.1575,8.39625,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.7742356,0.7742356,1.5484712,12.0,229.0,217.0,157.25,72.625,194.0,1.75,0.75,7.25,3.5,False,0.0318807430834372,0.0041069344368813,0.38581091625,1.24937815,-6.5458170425,0.391612547112,0.0,14.07
SmFe5,2,0.8498365855987975,0.8355496558274309,0.8333866598413104,0.8333348571344981,0.8333333418666663,26.0,62.0,36.0,32.0,10.0,26.0,23.0,55.0,32.0,49.66666666666666,8.888888888888891,55.0,55.845,150.36,94.515,71.59750000000001,26.25416666666668,55.845,1345.0,1811.0,466.0,1733.3333333333333,129.44444444444449,1811.0,3.0,8.0,5.0,7.166666666666667,1.3888888888888886,8.0,4.0,6.0,2.0,4.333333333333333,0.5555555555555554,4.0,132.0,198.0,66.0,143.0,18.33333333333333,132.0,1.17,1.83,0.6600000000000001,1.72,0.1833333333333334,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,1.6666666666666667,6.0,0.0,6.0,6.0,1.0,1.6666666666666667,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.333333333333333,1.111111111111111,4.0,0.0,8.0,8.0,1.3333333333333333,2.222222222222222,0.0,4.0,8.0,4.0,4.666666666666667,1.1111111111111114,4.0,10.73,33.23,22.5,14.48,6.249999999999999,10.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,1.7588856666666668,0.5862952222222222,2.1106628,166.0,229.0,63.0,218.5,17.5,229.0,2.0,0.0,5.0,1.0,False,0.1031799049762132,0.0143305423578073,0.0071102370833299,1.61195178333,-7.701932526669999,0.0071102370833299,0.0,14.2305
LaFeO3,3,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,8.0,57.0,49.0,21.4,16.080000000000002,8.0,13.0,87.0,74.0,65.8,25.44,87.0,15.9994,138.90547,122.90607,48.549734,39.0604008,15.9994,54.8,1811.0,1756.2,633.6800000000001,694.6560000000001,54.8,3.0,16.0,13.0,11.8,5.04,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,207.0,141.0,107.4,49.68,66.0,1.1,3.44,2.34,2.65,0.948,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,6.0,6.0,1.4,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.8,1.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.6,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.8,2.16,2.0,9.105,36.8975,27.7925,14.988499999999998,8.7636,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.42213256,0.675412096,0.0,12.0,229.0,217.0,91.8,95.76,12.0,2.0,2.4,1.4,0.0,True,0.7456133690005962,0.1516935385760311,-2.65562272521,0.99707294,-7.569285767999999,0.0990629505,0.0,11.934
Ni4W,2,0.8246211251235323,0.8041451517178116,0.8001561890005822,0.8000069752639724,0.8000000762939126,28.0,74.0,46.0,37.2,14.720000000000002,28.0,51.0,61.0,10.0,59.0,3.2,61.0,58.6934,183.84,125.1466,83.72272000000001,40.046912000000006,58.6934,1728.0,3695.0,1967.0,2121.4,629.44,1728.0,6.0,10.0,4.0,9.2,1.2800000000000005,10.0,4.0,6.0,2.0,4.4,0.6400000000000002,4.0,124.0,162.0,38.0,131.6,12.159999999999997,124.0,1.91,2.36,0.4499999999999999,2.0,0.144,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,4.0,7.2,1.2799999999999998,8.0,0.0,14.0,14.0,2.8,4.48,0.0,10.0,20.0,10.0,12.0,3.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,2.8,1.2799999999999998,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,2.8,1.2799999999999998,2.0,10.32,16.05,5.73,11.466,1.8335999999999997,10.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953947,0.5953947,0.47631576,0.190526304,0.5953947,225.0,229.0,4.0,225.8,1.280000000000007,225.0,2.0,0.0,7.2,2.8,False,0.0493649081413015,0.0078983853026082,-0.1075391659999999,-0.0013878,-7.152876172000001,-0.04037874,0.0,11.5546
Ba2NdSbO6,4,0.648074069840786,0.6091199348919785,0.6005237760880776,0.6000397970967368,0.6000010180820753,8.0,60.0,52.0,27.1,22.92,8.0,9.0,87.0,78.0,64.4,31.24,87.0,15.9994,144.242,128.24259999999998,63.66524,57.199008000000006,15.9994,54.8,1294.0,1239.2,452.658,477.4296000000001,54.8,2.0,16.0,14.0,11.8,5.68,16.0,2.0,6.0,4.0,3.5,1.8,2.0,66.0,215.0,149.0,116.6,60.71999999999999,66.0,0.89,3.44,2.55,2.5610000000000004,1.0548,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.7,1.62,4.0,0.0,10.0,10.0,1.0,1.8,0.0,0.0,4.0,4.0,0.4,0.7200000000000001,0.0,2.0,15.0,13.0,6.1,1.7799999999999998,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5,0.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.8,0.0,0.0,10.0,10.0,2.5,1.6,2.0,9.105,63.59,54.485,24.818,18.855600000000003,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,89.0,92.4,12.0,2.0,2.7,1.0,0.4,True,0.8032113561415081,0.1712757325865932,-2.84849801953,-2.059e-05,-6.83522865,-0.1485794222749999,4.177,15.8177
Pr3SnC,3,0.66332495807108,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,6.0,59.0,53.0,46.6,16.24,59.0,17.0,80.0,63.0,41.6,29.520000000000003,17.0,12.0107,140.90765,128.89695,110.68873,39.471212,140.90765,505.08,3823.0,3317.92,1588.016,893.9936000000001,1204.0,3.0,14.0,11.0,7.4,5.279999999999999,3.0,2.0,6.0,4.0,5.0,1.2,6.0,76.0,203.0,127.0,164.8,45.84,203.0,1.13,2.55,1.42,1.5799999999999998,0.54,1.13,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.8,0.9600000000000002,0.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,3.0,3.0,1.8,1.44,3.0,4.0,14.0,10.0,6.6,2.96,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.6,1.9200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,6.6,5.279999999999999,11.0,4.0,11.0,7.0,8.2,3.3600000000000003,11.0,5.64,35.675,30.035,29.19,9.419999999999998,35.675,0.0,4.496,4.496,0.8992000000000001,1.4387200000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,194.0,53.0,183.4,16.959999999999997,194.0,2.0,0.8,2.0,1.8,False,0.3959510250619746,0.0698331859478837,1.3893081426299998,0.00152172,-4.101809608,1.82104155678,0.0,40.1789
UFe5Sn,3,0.7423074889580903,0.7180750993304971,0.7143771194604123,0.7142883265019527,0.7142857289142843,26.0,92.0,66.0,38.85714285714285,18.36734693877551,26.0,20.0,80.0,60.0,53.57142857142857,9.59183673469388,55.0,55.845,238.02891,182.18391,90.85198714285714,50.009981632653066,55.845,505.08,1811.0,1305.92,1566.8685714285714,348.7591836734694,1811.0,3.0,14.0,11.0,8.142857142857142,1.6734693877551017,8.0,4.0,7.0,3.0,4.571428571428571,0.8163265306122448,4.0,132.0,196.0,64.0,142.14285714285714,15.387755102040812,132.0,1.38,1.96,0.5800000000000001,1.784285714285714,0.1155102040816329,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.2857142857142857,0.4897959183673469,0.0,1.0,10.0,9.0,5.857142857142857,1.3877551020408163,6.0,0.0,3.0,3.0,0.4285714285714285,0.7346938775510203,0.0,6.0,14.0,8.0,8.571428571428571,1.551020408163265,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.5714285714285714,0.979591836734694,0.0,0.0,9.0,9.0,4.142857142857143,1.3877551020408163,4.0,0.0,11.0,11.0,1.5714285714285714,2.693877551020408,0.0,4.0,20.0,16.0,6.285714285714286,3.918367346938776,4.0,10.73,33.285,22.555,15.28,6.499999999999999,10.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,1.507616285714286,0.8614950204081632,2.1106628,63.0,229.0,166.0,192.7142857142857,51.836734693877546,229.0,2.0,0.2857142857142857,5.857142857142857,0.4285714285714285,False,0.0806606824334817,0.0071135848849027,-0.0398920938359,0.8575934178569999,-8.14645361214,0.0332004299074,0.0,13.8317
Co2W4C,3,0.6546536707079771,0.5970484566258902,0.5750650283013602,0.5720691506685885,0.5714844049399023,6.0,74.0,68.0,50.85714285714285,26.448979591836736,74.0,51.0,77.0,26.0,56.71428571428572,6.530612244897959,51.0,12.0107,183.84,171.8293,123.60529857142858,68.8396587755102,183.84,1768.0,3823.0,2055.0,3162.714285714286,796.9795918367347,3695.0,6.0,14.0,8.0,8.0,2.2857142857142856,6.0,2.0,6.0,4.0,4.857142857142857,1.3061224489795915,6.0,76.0,162.0,86.0,139.42857142857142,25.79591836734694,162.0,1.88,2.55,0.6699999999999999,2.25,0.2114285714285713,2.36,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.2857142857142857,0.4897959183673469,0.0,0.0,7.0,7.0,4.285714285714286,1.5510204081632657,4.0,0.0,14.0,14.0,8.0,6.857142857142857,14.0,4.0,20.0,16.0,14.571428571428571,6.204081632653062,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.5714285714285714,0.979591836734694,0.0,0.0,6.0,6.0,4.285714285714286,1.959183673469388,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.857142857142857,1.3061224489795915,6.0,5.64,16.05,10.41,12.904285714285717,3.5951020408163274,16.05,0.0,4.496,4.496,0.6422857142857143,1.101061224489796,0.0,0.0,1.5484712,1.5484712,0.4424203428571429,0.6320290612244898,0.0,194.0,229.0,35.0,214.0,17.142857142857142,229.0,2.0,0.2857142857142857,4.285714285714286,8.0,False,0.1061568798287821,0.014204724163723,-0.0714229435713999,1.9975e-05,-10.8195706282,-1.53410505307e-05,0.0,12.9314
Sr2MnNbO6,4,0.6480740698407861,0.6091199348919785,0.6005237760880777,0.6000397970967368,0.6000010180820754,8.0,41.0,33.0,19.0,13.2,8.0,8.0,87.0,79.0,63.7,27.96,87.0,15.9994,92.90638,76.90698,41.9080825,31.090419,15.9994,54.8,2750.0,2695.2,669.78,737.976,54.8,2.0,16.0,14.0,11.2,5.76,16.0,2.0,5.0,3.0,3.1,1.3199999999999998,2.0,66.0,195.0,129.0,108.9,51.48,66.0,0.95,3.44,2.49,2.569,1.0452,3.44,1.0,2.0,1.0,1.9,0.18,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,0.9,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,5.2,1.3199999999999998,6.0,0.0,1.0,1.0,0.1,0.18,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,6.0,6.0,1.1,1.7600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.4,1.44,2.0,9.105,54.23,45.125,19.17575862069,14.021696551723997,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,3.10120689655e-05,5.58217241379e-05,0.0,12.0,229.0,217.0,96.8,101.76,12.0,1.9,2.4,0.9,0.0,False,0.7877573323062756,0.167960956621379,-2.84453030375,0.40000167,-7.59851896,0.0245691364999999,0.0,12.561
UPb,2,0.7071067811865476,0.6299605249474366,0.5743491774985174,0.5520447568369062,0.5358867312681466,82.0,92.0,10.0,87.0,5.0,82.0,20.0,81.0,61.0,50.5,30.5,20.0,207.2,238.02891,30.828910000000008,222.614455,15.414455000000004,207.2,600.61,1408.0,807.39,1004.305,403.695,600.61,3.0,14.0,11.0,8.5,5.5,3.0,6.0,7.0,1.0,6.5,0.5,6.0,146.0,196.0,50.0,171.0,25.0,146.0,1.38,2.33,0.9500000000000002,1.855,0.4750000000000001,1.38,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,10.0,9.0,5.5,4.5,1.0,3.0,14.0,11.0,8.5,5.5,3.0,6.0,28.0,22.0,17.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,9.0,9.0,4.5,4.5,0.0,0.0,11.0,11.0,5.5,5.5,0.0,4.0,20.0,16.0,12.0,8.0,4.0,20.025,28.11,8.085,24.0675,4.0425,20.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,225.0,162.0,144.0,81.0,63.0,2.0,1.0,5.5,8.5,False,0.2019826979496353,0.0504956744874088,0.33105748,1.4471211000000002,-7.1670992925,0.33105748,0.0,26.9729
KCrF3,3,0.66332495807108,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,9.0,24.0,15.0,14.0,6.0,9.0,3.0,93.0,90.0,66.2,32.160000000000004,93.0,18.9984032,51.9961,32.9976968,29.61792192,12.743422464,18.9984032,53.5,2180.0,2126.5,535.406,657.8376000000001,53.5,1.0,17.0,16.0,11.6,6.480000000000001,17.0,2.0,4.0,2.0,2.8,0.96,2.0,57.0,203.0,146.0,102.6,54.720000000000006,57.0,0.82,3.98,3.16,2.884,1.3152,3.98,1.0,2.0,1.0,1.6,0.48,2.0,0.0,5.0,5.0,3.0,2.4,5.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,5.6,1.8400000000000003,7.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,1.0,1.0,0.6,0.4800000000000001,1.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,2.0,1.6,1.0,9.7075,73.1066666667,63.3991666667,22.68383333334,20.169133333344,9.7075,0.0,1.97,1.97,1.182,0.9456,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,229.0,214.0,100.6,102.71999999999998,15.0,1.6,3.0,1.0,0.0,False,0.9176189628313964,0.2053369597000347,-2.7407191544800003,0.8,-5.7359035920000006,-0.0377896962774,0.0,13.5704
